200, 160
120, 160
40, 160
40, 200
40, 240
40, 280
40, 320
40, 360
40, 400
40, 440
40, 480
120, 480
200, 480

460, 200
380, 160
320, 200
300, 240
320, 280
380, 320
420, 360
460, 400
440, 440
400, 480
320, 440

560, 160
640, 160
640, 200
640, 240
640, 280
640, 320
640, 360
560, 320
640, 360
640, 400
640, 440
640, 480
560, 480

740, 160
740, 200
740, 240
740, 280
740, 320
820, 320
900, 160
900, 200
900, 240
900, 280
900, 320
900, 360
900, 400
900, 440
900, 480

1000, 160
1000, 200
1000, 240
1000, 280
1000, 320
1080, 320
1080, 160
1160, 160
1160, 200
1160, 240
1160, 280
1160, 320
1160, 360
1160, 400
1160, 440
1160, 480
